id,baby_id,start_time,end_time,sleep_type,location,sleep_quality,sleep_environment,wake_reason,notes,created_at,updated_at
27d7512c-7d01-4f2b-8a2a-f6684a769047,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-16 06:42:00,2024-01-16 09:45:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-16 06:42:00,2024-01-16 06:42:00
999247a8-bf3e-4a3c-8700-0dc45ac62fea,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-16 11:19:00,2024-01-16 12:56:00,NAP,CRIB,,,NATURAL,,2024-01-16 11:19:00,2024-01-16 11:19:00
7c3168c6-dbf5-4f66-8094-0ff211461f36,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-16 15:05:00,2024-01-16 15:32:00,NAP,CRIB,,,NATURAL,,2024-01-16 15:05:00,2024-01-16 15:05:00
5eb0f272-3d8e-4bc2-ac65-750b30c6d001,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-16 18:30:00,2024-01-16 19:41:00,NAP,CRIB,,,NATURAL,,2024-01-16 18:30:00,2024-01-16 18:30:00
b2fe4605-ecef-4b58-a1c0-32bff5759bc9,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-16 21:35:00,2024-01-17 06:44:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-16 21:35:00,2024-01-16 21:35:00
7ba7ef8c-db61-4c83-b1ef-e6275d17c9f2,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-17 07:05:00,2024-01-17 09:40:00,NAP,CRIB,,,NATURAL,,2024-01-17 07:05:00,2024-01-17 07:05:00
b8be1a77-0961-4c2a-9515-7945f23d68b9,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-17 13:00:00,2024-01-17 13:34:00,NAP,CRIB,,,NATURAL,,2024-01-17 13:00:00,2024-01-17 13:00:00
2fccf87a-ee25-43ab-b0ad-32672364b5c9,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-17 15:00:00,2024-01-17 15:45:00,NAP,CRIB,,,NATURAL,,2024-01-17 15:00:00,2024-01-17 15:00:00
4c476521-3c5a-49bb-b510-deca85936c40,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-17 18:00:00,2024-01-17 18:34:00,NAP,CRIB,,,NATURAL,,2024-01-17 18:00:00,2024-01-17 18:00:00
07568b9c-78b5-4363-834d-718aa8550a82,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-17 21:55:00,2024-01-18 06:03:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-17 21:55:00,2024-01-17 21:55:00
70ef075b-cefb-435d-8010-e4a1f16e9c8c,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-18 06:20:00,2024-01-18 08:18:00,NAP,CRIB,,,NATURAL,,2024-01-18 06:20:00,2024-01-18 06:20:00
1ca156f5-9ca8-4d87-8714-0d30fe3ec431,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-18 09:48:00,2024-01-18 10:39:00,NAP,CRIB,,,NATURAL,,2024-01-18 09:48:00,2024-01-18 09:48:00
ee8ebf83-24f3-4bb8-bbda-d73aa2483ec6,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-18 12:23:00,2024-01-18 13:15:00,NAP,CRIB,,,NATURAL,,2024-01-18 12:23:00,2024-01-18 12:23:00
53b992d6-f894-4418-ae47-23bc02b32e76,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-18 15:12:00,2024-01-18 15:52:00,NAP,CRIB,,,NATURAL,,2024-01-18 15:12:00,2024-01-18 15:12:00
f55fdb68-cfba-4487-b401-cd6056999918,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-18 17:48:00,2024-01-18 18:40:00,NAP,CRIB,,,NATURAL,,2024-01-18 17:48:00,2024-01-18 17:48:00
22c6e735-c3ea-45b3-983e-d0ec07339be5,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-18 22:11:00,2024-01-19 05:06:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-18 22:11:00,2024-01-18 22:11:00
164bb52d-120f-4cd4-bce9-88b3a6c2c333,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-19 05:28:00,2024-01-19 08:15:00,NAP,CRIB,,,NATURAL,,2024-01-19 05:28:00,2024-01-19 05:28:00
38ac7f4c-279c-42a8-8223-0416b027ab83,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-19 09:45:00,2024-01-19 11:10:00,NAP,CRIB,,,NATURAL,,2024-01-19 09:45:00,2024-01-19 09:45:00
1acdf396-2f26-4f09-beaf-e47eeb06dbd9,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-19 12:35:00,2024-01-19 13:17:00,NAP,CRIB,,,NATURAL,,2024-01-19 12:35:00,2024-01-19 12:35:00
c5c93226-b8b4-45c4-ae15-84e29c74e43a,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-19 15:45:00,2024-01-19 16:35:00,NAP,CRIB,,,NATURAL,,2024-01-19 15:45:00,2024-01-19 15:45:00
65deb780-047b-4d9a-b150-82d8c2e96847,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-19 17:46:00,2024-01-19 18:24:00,NAP,CRIB,,,NATURAL,,2024-01-19 17:46:00,2024-01-19 17:46:00
f467bbe2-5786-4180-9cef-770931acc3af,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-19 22:55:00,2024-01-20 03:47:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-19 22:55:00,2024-01-19 22:55:00
8a4526c1-96dc-4866-b100-660d875ca720,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-20 04:57:00,2024-01-20 05:10:00,NAP,CRIB,,,NATURAL,,2024-01-20 04:57:00,2024-01-20 04:57:00
a4d5dea7-d015-43cf-962b-17a187c5365c,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-20 06:48:00,2024-01-20 08:15:00,NAP,CRIB,,,NATURAL,,2024-01-20 06:48:00,2024-01-20 06:48:00
be39413b-6fc2-4275-8343-e214122fd1b4,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-20 09:57:00,2024-01-20 10:37:00,NAP,CRIB,,,NATURAL,,2024-01-20 09:57:00,2024-01-20 09:57:00
0715d4ee-a39a-4f03-a7d3-356b28aa11d0,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-20 12:16:00,2024-01-20 12:55:00,NAP,CRIB,,,NATURAL,,2024-01-20 12:16:00,2024-01-20 12:16:00
51f7a8d8-b7db-49fb-8579-056f36a95a58,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-20 15:17:00,2024-01-20 15:50:00,NAP,CRIB,,,NATURAL,,2024-01-20 15:17:00,2024-01-20 15:17:00
967a31b4-3fd3-4d04-b50e-eee9a1b7e6a6,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-20 17:24:00,2024-01-20 17:51:00,NAP,CRIB,,,NATURAL,,2024-01-20 17:24:00,2024-01-20 17:24:00
87e91cdc-4b9d-46cb-bf6e-451317914f5a,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-21 00:02:00,2024-01-21 10:37:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-21 00:02:00,2024-01-21 00:02:00
97c5e145-22a1-4c93-9c24-c8939db7dac7,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-21 10:09:00,2024-01-21 10:40:00,NAP,CRIB,,,NATURAL,,2024-01-21 10:09:00,2024-01-21 10:09:00
7bd7f56e-487f-4c52-9257-6798c2bcae53,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-21 13:25:00,2024-01-21 13:59:00,NAP,CRIB,,,NATURAL,,2024-01-21 13:25:00,2024-01-21 13:25:00
33f82a82-5b8e-4ab2-b972-253ded320c8e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-21 15:26:00,2024-01-21 16:05:00,NAP,CRIB,,,NATURAL,,2024-01-21 15:26:00,2024-01-21 15:26:00
e8f891d4-3983-43eb-a7d3-b6eba39e48b5,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-21 18:00:00,2024-01-21 18:35:00,NAP,CRIB,,,NATURAL,,2024-01-21 18:00:00,2024-01-21 18:00:00
d4e1913f-8009-46c7-90d7-f8d577a09574,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-21 21:10:00,2024-01-21 21:50:00,NAP,CRIB,,,NATURAL,,2024-01-21 21:10:00,2024-01-21 21:10:00
1c7b9869-571d-4475-80d6-27bf00cc139b,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-21 23:32:00,2024-01-22 09:10:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-21 23:32:00,2024-01-21 23:32:00
36c77b0a-2278-406b-a44c-ac8c903bfe89,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-22 09:35:00,2024-01-22 10:55:00,NAP,CRIB,,,NATURAL,,2024-01-22 09:35:00,2024-01-22 09:35:00
3c5161e8-4051-4fe9-8d2c-bb713d20c5ff,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-22 12:11:00,2024-01-22 12:44:00,NAP,CRIB,,,NATURAL,,2024-01-22 12:11:00,2024-01-22 12:11:00
