id,baby_id,start_time,end_time,feeding_type,breast_started,left_breast_duration,right_breast_duration,volume_offered_ml,volume_consumed_ml,formula_type,food_items,appetite,notes,created_at,updated_at
b9acc384-6401-4c47-8825-d02d6ac09c58,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 11:54:00,2024-01-13 12:02:00,BREAST,LEFT,4,4,,,,,,,2024-01-13 11:54:00,2024-01-13 11:54:00
b8aef6eb-961b-4cfa-a531-bbf39188c6cc,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 14:31:00,2024-01-13 14:41:00,BREAST,RIGHT,5,5,,,,,,,2024-01-13 14:31:00,2024-01-13 14:31:00
568c8ce2-446b-44d5-b3b0-ed04d18373ac,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 17:43:00,2024-01-13 17:49:00,BREAST,LEFT,2,4,,,,,,,2024-01-13 17:43:00,2024-01-13 17:43:00
f96ac778-925f-4e70-8f81-2b06b8809cf0,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 20:12:00,2024-01-13 20:21:00,BREAST,RIGHT,5,4,,,,,,,2024-01-13 20:12:00,2024-01-13 20:12:00
89b08bd6-ac20-47a7-9b1d-95b2e7828267,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 21:24:00,2024-01-13 21:30:00,BREAST,RIGHT,3,3,,,,,,,2024-01-13 21:24:00,2024-01-13 21:24:00
3bc53668-b0dd-44cb-a3ff-f866d73f4ff3,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-14 07:48:00,2024-01-14 07:56:00,BREAST,LEFT,4,4,,,,,,,2024-01-14 07:48:00,2024-01-14 07:48:00
612342dc-d932-4f91-a872-837746ef07ad,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-14 10:56:00,2024-01-14 11:05:00,BREAST,RIGHT,1,8,,,,,,,2024-01-14 10:56:00,2024-01-14 10:56:00
3a03983f-c3d7-45fe-8c68-73535ab062e5,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-14 13:00:00,2024-01-14 13:06:00,BREAST,,3,3,,,,,,,2024-01-14 13:00:00,2024-01-14 13:00:00
6c50470a-2a48-4fde-b99d-56b0bacd8103,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-14 15:27:00,2024-01-14 15:37:00,BREAST,LEFT,5,5,,,,,,,2024-01-14 15:27:00,2024-01-14 15:27:00
37ed637c-dba6-4e5b-9f24-cba3bcec8896,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-14 19:20:00,2024-01-14 19:31:00,BREAST,RIGHT,4,7,,,,,,,2024-01-14 19:20:00,2024-01-14 19:20:00
70112c6f-5c24-437f-b350-760874a20761,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-14 20:36:00,2024-01-14 20:42:00,BREAST,,3,3,,,,,,,2024-01-14 20:36:00,2024-01-14 20:36:00
12ad1b8c-af06-4670-8bc1-2dafb971d113,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 06:04:00,2024-01-15 06:08:00,BREAST,RIGHT,2,2,,,,,,,2024-01-15 06:04:00,2024-01-15 06:04:00
3d435bf6-0e81-4866-ab0e-a77f143a7a90,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 09:07:00,2024-01-15 09:27:00,BREAST,RIGHT,10,10,,,,,,,2024-01-15 09:07:00,2024-01-15 09:07:00
f03f35cd-8c91-473d-81b5-1dcba84bffde,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 11:49:00,2024-01-15 12:01:00,BREAST,RIGHT,6,6,,,,,,,2024-01-15 11:49:00,2024-01-15 11:49:00
145a977b-0771-484e-9eb2-4aaddd65ea97,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 14:52:00,2024-01-15 15:00:00,BREAST,LEFT,5,3,,,,,,,2024-01-15 14:52:00,2024-01-15 14:52:00
5126a926-a633-42bf-80de-195ef0209e6f,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 17:45:00,2024-01-15 17:59:00,BREAST,RIGHT,7,7,,,,,,,2024-01-15 17:45:00,2024-01-15 17:45:00
f0bb473e-d454-44ce-a9c4-d2fc01d9a38e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 20:25:00,2024-01-15 20:34:00,BREAST,RIGHT,4,5,,,,,,,2024-01-15 20:25:00,2024-01-15 20:25:00
79e3c87f-624c-4579-b0e3-8fd493c07e4d,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-16 06:28:00,2024-01-16 06:32:00,BREAST,RIGHT,2,2,,,,,,,2024-01-16 06:28:00,2024-01-16 06:28:00
4a031df9-3626-47c6-8864-723d220837c3,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-16 09:49:00,2024-01-16 09:59:00,BREAST,RIGHT,4,6,,,,,,,2024-01-16 09:49:00,2024-01-16 09:49:00
64bb3e8c-4c94-45bc-9711-999a16439620,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-16 13:02:00,2024-01-16 13:11:00,BREAST,LEFT,4,5,,,,,,,2024-01-16 13:02:00,2024-01-16 13:02:00
